Date,open,high,low,close,volume,overnightSHIBOR,CPI,GDP,PPI
8/10/2010,2920.404,2925.296,2832.078,2832.638,7843503400,1.4658,0.4,99532.4,-0.4
8/11/2010,2823.15,2864.361,2823.15,2850.211,5497913300,1.4688,0.4,99532.4,-0.4
8/12/2010,2822.791,2860.369,2810.102,2816.386,5989322700,1.4729,0.4,99532.4,-0.4
8/13/2010,2818.41,2856.043,2799.221,2855.547,5850772100,1.4729,0.4,99532.4,-0.4
8/16/2010,2851.219,2927.688,2843.024,2922.083,8106804300,1.4717,0.4,99532.4,-0.4
8/17/2010,2927.258,2949.73,2917.834,2942.291,7645291200,1.4717,0.4,99532.4,-0.4
8/18/2010,2945.979,2962.749,2924.668,2937.362,7074760000,1.4946,0.4,99532.4,-0.4
8/19/2010,2940.767,2975.188,2928.013,2955.395,7692486500,1.5204,0.4,99532.4,-0.4
8/20/2010,2943.334,2951.956,2892.64,2898.333,7166330600,1.5379,0.4,99532.4,-0.4
8/23/2010,2895.707,2920.541,2886.659,2896.192,4891551700,1.4967,0.4,99532.4,-0.4
8/24/2010,2892.129,2933.118,2866.802,2911.827,6109379600,1.5171,0.4,99532.4,-0.4
8/25/2010,2893.986,2904.662,2842.249,2843.023,6361062100,1.5417,0.4,99532.4,-0.4
8/26/2010,2853.105,2868.878,2836.129,2850.093,4867044200,1.6317,0.4,99532.4,-0.4
8/27/2010,2847.448,2861.074,2833.422,2858.566,4078958200,1.9563,0.4,99532.4,-0.4
8/30/2010,2874.247,2921.085,2872.918,2915.01,6574988200,2.0533,0.4,99532.4,-0.4
8/31/2010,2905.154,2910.06,2889.808,2903.188,6576610400,2.32,0.6,99532.4,0.4
9/1/2010,2907.663,2931.76,2859.166,2884.042,7697557800,2.535,0.6,99532.4,0.4
9/2/2010,2917.735,2931.547,2903.028,2921.393,7070085100,1.9806,0.6,99532.4,0.4
9/3/2010,2926.939,2929.548,2891.878,2920.205,7264102700,1.9792,0.6,99532.4,0.4
9/6/2010,2935.89,2980.424,2935.89,2975.09,9385568100,1.9729,0.6,99532.4,0.4
9/7/2010,2979.298,2991.435,2959.902,2983.108,7351936100,1.84,0.6,99532.4,0.4
9/8/2010,2970.002,2982.72,2953.839,2980.967,7287200200,1.7054,0.6,99532.4,0.4
9/9/2010,2986.867,2986.867,2922.2,2926.46,8139555400,1.6383,0.6,99532.4,0.4
9/10/2010,2928.001,2940.79,2890.035,2932.554,6508670400,1.5583,0.6,99532.4,0.4
9/13/2010,2933.594,2977.078,2925.416,2962.319,6727990000,1.4963,0.6,99532.4,0.4
9/14/2010,2971.547,2984.466,2954.507,2965.009,7010590300,1.5988,0.6,99532.4,0.4
9/15/2010,2965.539,2965.539,2905.63,2913.194,7161964200,1.6696,0.6,99532.4,0.4
9/16/2010,2908.322,2917.849,2834.033,2857.789,7407428400,1.6588,0.6,99532.4,0.4
9/17/2010,2864.717,2877.083,2847.681,2861.369,5193886700,1.5204,0.6,99532.4,0.4
9/20/2010,2865.04,2872.219,2829.757,2849.828,5028310400,1.6446,0.6,99532.4,0.4
9/21/2010,2859.43,2869.38,2844.125,2857.476,3575188100,1.8069,0.6,99532.4,0.4
9/27/2010,2869.928,2905.526,2864.209,2905.029,4907182300,1.7123,0.6,99532.4,0.4
9/28/2010,2900.536,2900.536,2875.658,2880.907,5866082600,1.7814,0.6,99532.4,0.4
9/29/2010,2877.269,2908.732,2866.854,2874.812,5678223600,1.7466,0.6,99532.4,0.4
9/30/2010,2859.06,2935.595,2857.418,2935.574,6300024700,2.5975,0.6,106238.7,0.6
10/8/2010,2965.652,3055.836,2963.237,3044.233,9999472000,1.7325,0.6,106238.7,0.6
10/11/2010,3069.188,3154.204,3069.188,3132.895,15873490400,1.6683,0.6,106238.7,0.6
10/12/2010,3121.636,3173.849,3106.224,3172.726,12736170500,1.6375,0.6,106238.7,0.6
10/13/2010,3176.886,3221.646,3165.578,3217.577,14460777300,1.6358,0.6,106238.7,0.6
10/14/2010,3245.133,3286.023,3215.031,3224.14,17961183800,1.6187,0.6,106238.7,0.6
10/15/2010,3204.723,3327.683,3199.122,3327.683,19341414000,1.5925,0.6,106238.7,0.6
10/18/2010,3345.804,3390.015,3288.781,3306.16,21788205100,1.5946,0.6,106238.7,0.6
10/19/2010,3300.517,3375.867,3279.999,3375.674,13044179100,1.5929,0.6,106238.7,0.6
10/20/2010,3304.221,3439.225,3301.009,3396.879,16652846000,1.5958,0.6,106238.7,0.6
10/21/2010,3404.721,3418.091,3344.962,3374.685,12388324500,1.5913,0.6,106238.7,0.6
10/22/2010,3365.597,3408.491,3346.111,3378.655,11636185700,1.5904,0.6,106238.7,0.6
